station_id,metro_id
250180460,95414
254230010,91908
250190430,95506
250210030,95751
249199978,6522
253229988,92838
252189994,93420
253210080,92730
252159995,3150
252150270,3152
252150270,93152
250170410,95418
252179996,93301
253220260,92803
253220350,92854
254220080,91804
250209983,95632
249220170,6808
253199991,92532
254220060,91813
249190620,96510
251189997,94412
250210150,95733
250210070,95754
254210010,91708
252179999,93355
250160410,95223
253159992,92101
253229994,92843
250200010,95653
249210170,96717
251210090,94723
254200040,91613
252190080,93524
253160050,92226
249210240,6708
251210270,94744
250229988,95844
253190290,92555
254180120,91419
250180010,95484
250209976,95654
251190110,94555
251199995,4505
250239995,95908
249209976,96619
249219988,96720
251230120,4902
254219997,91702
253219994,2751
252169989,93250
251189992,94413
253229990,92825
252239995,3903
251209995,94636
252140180,93053
249200450,96610
251200080,94630
253220040,92832
254159998,1101
253179993,92304
252230120,3902
353230295,295
253220070,2802
249210070,6702
250170350,95309
252149998,93024
250200060,95646
252239998,3901
349190600,600
249199993,96557
251150320,94107
250190380,5508
251170270,94306
250170020,95357
252199990,93541
250229990,5803
253140080,92015
249220060,6803
253190130,92522
253200030,92652
253209997,2601
252159994,93127
251160010,93201
254169997,91201
251150010,94164
252179998,3301
252170050,93367
251190180,94502
249209999,6601
252140120,93006
252230140,93910
250200040,5601
250140030,5001
250149999,95050
249190170,96555
251210050,94732
250219978,95738
252199994,3502
250219999,5702
250210060,95764
250160190,95252
251169992,94240
253200110,92623
250199992,95522
250160050,95264
250160610,5252
252140070,93014
252169988,93257
250160030,95267
252230030,3951
250190150,95580
252200080,93661
254200050,91651
251150040,94156
253170010,92360
250160070,95348
250189987,95401
254170110,91353
254170210,1351
250200230,5606
250189981,95403
250200290,95605
253180010,92447
250170430,95303
254190040,91522
252220050,93832
251190010,94547
249189994,96433
249180160,6451
249180190,96450
252160220,93215
253190210,92512
252169997,93235
251210240,94703
253180050,92451
251140030,94007
253190330,92558
250180180,95460
254160010,91252
254169999,91251
251239993,94916
252200190,93657
252209995,3608
250180250,95544
250170050,95347
251160230,94219
249229993,6806
249220130,96851
252189987,93436
251170170,94320
249210020,96739
253150240,92155
249190020,96576
250219987,95710
249219997,96737
252150320,93156
253190190,92514
249229994,96828
251219990,94726
253190350,92560
251159984,94160
253179987,92327
251150120,94142
253190010,92546
253190340,92559
252159996,93150
250219992,95725
251169997,94209
251160270,94208
249220020,96842
249199994,96560
249220360,96856
254170070,91328
249200480,6626
250150260,95102
251209996,94626
253220160,92813
353170240,240
253180220,2450
253170260,2351
253170260,92367
250160550,95279
250169985,5209
253190320,92557
250189975,95439
251159989,94150
251150060,4201
251160330,4252
254179993,1301
251189991,94441
251210280,94750
252210230,93772
251190260,94557
249180030,96424
250199995,95533
251230140,94907
250160290,95237
251170190,94317
251200170,94611
250209995,95635
250219994,5707
251169993,94230
251150150,94136
250160430,95220
251170020,94347
252190110,93520
251220170,94807
253169991,92256
252140010,93026
353170235,235
251150190,94129
253159993,2101
253200180,92611
250210180,5708
250189984,95433
253150180,92108
252230090,93952
250200190,95624
252180010,92401
250150010,95135
250190370,95510
250189972,95465
253170210,2303
251160170,4250
249190590,96512
252179988,93315
252230190,3950
250150130,95122
252220060,93829
252209986,93650
252189999,3401
253179990,92351
249210110,96722
252200070,93639
250190040,95574
253229991,92824
251210150,94714
250220160,95813
250159998,5102
253210240,92706
250230160,5951
250239989,95904
249180550,6452
249180130,6403
249209992,6603
250190320,95516
251160070,94241
249220250,96805
251180220,94405
250200110,95658
252140130,93004
250199986,95576
253169995,92220
250219984,95705
254179996,1304
251210310,94752
253180060,92438
250190050,95572
253169996,92224
250170170,95329
252210020,93776
252200250,93664
249199984,6519
251179995,94324
251179991,94351
251180120,94424
251179998,94325
249209993,96647
250189991,5406
250190270,95530
251220060,94829
252170140,93327
252170380,93372
252180030,93452
253179983,92352
251160020,94253
251229997,4804
251220140,94852
350190550,550
252219991,93706
253160170,92203
253170080,92343
254170270,91359
249209978,6622
252220040,93834
250209998,95643
251200060,94656
254160020,1201
253150120,92154
252180250,93405
252179995,93347
253239984,92930
250200270,95612
250200360,95664
253140240,92055
253179986,92337
250170550,95362
251200270,4611
251200270,94660
252210190,93722
250219990,5711
250219983,95704
250180050,95479
251210080,94724
249200340,96661
249209972,6635
252189992,93411
253220080,92826
252180190,93417
251159998,94146
254190110,91610
250160590,5211
249200070,6651
252150020,93142
251180030,94443
253159997,92126
249209989,96637
252189996,93440
253190030,2502
250180110,95471
250170110,5302
250160040,95268
254199996,91509
253210220,92710
253210280,92753
251190150,94508
251200040,94638
253159991,92110
249199974,96505
249200550,6633
251170010,94346
252220190,93801
254200130,91620
251230150,94908
253209990,92601
253230180,92935
253150170,92152
253150110,92124
252150070,93138
250180140,95469
250180580,5454
251200020,94644
252160310,93295
253220050,92828
251199996,94526
254220040,91816
251230210,94953
251239998,94904
254229997,91803
