Kod METEO,Nazwa stacji,longitude,latitude
93295,DRUŻYNA POZNAŃSKA,16.81777778,52.20777778
94856,SOBIESZYN,22.15083333,51.60805556
94705,STARACHOWICE,21.05333333,51.04138889
93143,TUCZNO,15.49416667,52.97472222
95361,RACŁAWICE ŚLĄSKIE,17.7775,50.30833333
92371,NOWA RUDNA,17.03722222,53.19166667
5352,KORFANTÓW II,17.61277778,50.475
92365,SMUKAŁA,17.96583333,53.19166667
5255,ŚNIEŻNIK,16.8325,50.20833333
93155,NĄDNIA,15.88361111,52.24166667
95665,OBLĘGOREK,20.49444444,50.95861111
95585,SIEMIANOWICE ŚLĄSKIE,19.02305556,50.32527778
94553,LUĆMIERZ,19.37111111,51.89194444
95227,NOWA RUDA-SŁUPIEC,16.53472222,50.54194444
95285,ŚWIERKI,16.41944444,50.62527778
95298,POLANICA-ZDRÓJ,16.51833333,50.42527778
93054,MACZKÓW,14.74416667,52.27527778
95737,SZYDŁÓW,21.0025,50.59222222
95341,STRZELIN,17.06611111,50.79222222
95543,PILICA,19.61166667,50.45916667
95223,BARDO ŚLĄSKIE,16.74444444,50.50916667
96454,WISŁA-JAWORNIK,18.83027778,49.65972222
2004,GOLENIÓW,14.89305556,53.59305556
93770,NIEGÓW,21.38861111,52.51
93551,OPIESIN,19.07388889,52.17666667
96569,WADOWICE,19.51277778,49.87666667
5254,SŁOSZÓW,16.37972222,50.41
95225,RZECZKA,16.4475,50.67666667
94110,GRYFÓW ŚLĄSKI,15.40944444,51.02666667
93157,ŁUGI,15.69555556,52.94361111
6632,HALA GĄSIENICOWA,20.00583333,49.24416667
5506,OLEWIN,19.6025,50.2775
92453,TLEŃ,18.26027778,53.61083333
94453,SEMPÓŁKI,18.81694444,51.94416667
95287,UNISŁAW ŚLĄSKI II,16.2325,50.71083333
94750,CELEJÓW,21.35694444,51.86111111
95612,DĄBROWA TARNOWSKA,20.99,50.17777778
92657,PREJŁOWO,20.72583333,53.74444444
96598,STAŃCOWA,19.54083333,49.54444444
93370,GŁĘBOCKO,17.05972222,52.59444444
95299,ZIELENIEC II,16.39916667,50.34444444
91620,DOMARADY,20.92083333,54.31138889
93664,CZARNÓW-TOWARZYSTWO,20.54805556,52.24472222
94661,TEOFILÓW,20.18277778,51.52805556
4351,WOLA KSIĄŻĘCA,17.58916667,53.96138889
95264,BOLESŁAWICE,16.4625,50.89472222
92626,JEMIOŁOWO,20.29944444,53.56166667
91551,NOWE SADŁUKI,19.71388889,54.26166667
94321,OSTRZESZÓW,17.92444444,51.42833333
92207,TUCZNO,16.14805556,53.195
96408,WISŁA-MALINKA,18.96833333,49.64527778
92369,MĄKOWARSKO,17.81444444,53.41194444
94225,LUBIN,16.21694444,51.41194444
95252,BOGUSZÓW-GORCE,16.18861111,50.74527778
93952,CHRABOŁY,23.19555556,52.86222222
96705,WISŁOK WIELKI,21.99916667,49.37888889
91358,SŁUCHOWO,17.96416667,54.77888889
94353,KSIĘGINICE,17.07638889,51.32888889
92157,SADŁOWO,15.27361111,53.27888889
94742,OPOLE LUBELSKIE,21.94555556,51.14583333
94556,JAROSTY,19.69194444,51.4625
96519,HARKABUZ,19.81444444,49.54583333
93463,NOWA WIEŚ WIELKA II,18.08333333,52.97916667
94352,TRĄBINEK,17.09472222,51.99583333
95363,KOPICE,17.47611111,50.64583333
94805,KĘPA,22.25166667,51.06277778
92710,DOBRYLAS,21.82722222,53.29638889
91356,SŁUPSK,17.03444444,54.46305556
92367,BYDGOSZCZ-SZWEDEROWO,17.995,53.09638889
92368,MOTYL,17.825,53.42972222
92258,TUCZNO TRZECIE,16.16472222,53.21305556
2705,ŚWIĘTAJNO,21.22777778,53.56333333
93632,ZAKROCZYM,20.60333333,52.43
93553,ZDUNY,19.09555556,52.03
93372,CZERNIEJEWO II,17.45888889,52.41361111
93201,BŁOTNICA,16.29833333,51.99694444
94255,WROCŁAW-STRACHOWICE,16.88166667,51.11361111
95286,SZALEJÓW GÓRNY,16.5525,50.43055556
94167,ZŁOTNIKI LUBAŃSKIE,15.34055556,51.01388889
92055,DĄBROWICA,14.97388889,53.46388889
95288,SREBRNA GÓRA II,16.66833333,50.58083333
96855,WOŁOSATE,22.68611111,49.06416667
93305,ŚREM,17.0375,52.08083333
92756,TYSZKI-WĄDOŁOWO,21.98416667,53.44777778
96583,SPYTKOWICE GÓRNE,19.76166667,49.56444444
95494,WIESZOWA,18.77416667,50.38111111
95364,NIEMODLIN,17.6625,50.64777778
94953,DUBICA GÓRNA,23.18222222,51.78138889
94855,SZCZEKARKÓW,22.64027778,51.49805556
94752,CZARNA KOLONIA,21.45111111,51.43138889
93775,PILAWA,21.08722222,52.03138889
92654,LUTRY,20.88527778,53.99805556
93326,GRUSZCZYN,17.06972222,52.43138889
94657,WŁOCHÓW,20.61,51.09833333
95553,MYSZKÓW,19.34916667,50.56527778
95587,SOSNOWIEC-JULIUSZ,19.21888889,50.26527778
93667,KOLONIA KAWĘCZYN,20.35472222,52.18222222
94454,WARTA II,18.60972222,51.71555556
96411,USTROŃ-RÓWNICA-SCHRONISKO,18.85222222,49.71555556
96416,SKOCZÓW,18.795,49.79888889
91359,CZŁUCHY,17.195,54.66555556
4250,CHWAŁKOWICE,16.61388889,51.44888889
95348,BORÓW,16.99,50.88222222
93771,ŚWIDER,21.23722222,52.11583333
93774,WARSZAWA-CZERNIAKOWSKA,21.04694444,52.21583333
93662,PRUSZKÓW,20.76944444,52.1825
93415,KŁODAWA,18.8925,52.24916667
92955,NOWINKA,23.65333333,53.29944444
94853,NOWA WIEŚ,22.7425,51.44944444
93776,CZARNOWO,21.53472222,52.88277778
92655,KIKITY II,20.87722222,53.98277778
92656,RUKŁAWKI,20.91166667,53.86611111
92557,BYSZWAŁD,19.74222222,53.53277778
93371,TROJANOWO,17.01694444,52.59944444
93156,BRZOZA,15.48194444,52.86611111
92024,PODGRODZIE,14.33222222,53.73277778
96759,WYSOWA,21.18694444,49.43305556
91529,KĄTY RYBACKIE,19.21416667,54.33305556
92140,SŁAWOBORZE,15.70194444,53.90361111
93633,NOWY DWÓR MAZOWIECKI,20.71666667,52.43333333
95927,STRZYŻÓW,24.03333333,50.85
94950,KOLONIA ZAKRĘCIE,23.11666667,51.01666667
95905,RUDA RÓŻANIECKA,23.18333333,50.31666667
92950,JASTRZĘBNA PIERWSZA,23.21666667,53.73333333
4902,BEZEK,23.26666667,51.18333333
5904,LUBACZÓW,23.13333333,50.15
92912,NOWOSIÓŁKI,23.51666667,53.18333333
